50908,15.112319,1.324132,Alice
39891,5.184553,0.223382,Bob
65915,3.868359,0.128078,Charlie
65678,3.507965,0.028904,Dave
62996,11.019254,0.427554,Emma
36851,3.812387,0.655245,Frank
36669,11.056784,0.378725,Grace
38876,8.826880,1.002328,Hannah
26878,11.173861,1.478244,Isaac
46246,11.506465,0.421993,Jacob
12761,7.798138,0.147917,Kate
35282,10.155081,1.370039,Liam
68306,10.645275,0.693453,Maggie
31262,9.663200,1.521541,Nina
34754,10.790404,1.312679,Olivier
13408,2.810534,0.219962,Peter
30365,9.825999,1.388500,Quincy
